48-32=16,9.774381275196793
48-36=12,9.756517123226526
43-25=18,9.750535463893002
46-27=19,9.74500931336795
45-27=18,9.742450141516587
46-29=17,9.742280344368687
52-34=18,9.741086093356522
48-12=36,9.737934647527757
58-42=16,9.735393412829493
62-43=19,9.734645673553983
45-29=16,9.732435311010963
43-27=16,9.731754977316609
68-21=47,9.72641736688364
47-29=18,9.724956064400931
52-38=14,9.72480230037646
84-21=63,9.724638451145974
54-36=18,9.724483297050075
43-28=15,9.724450345274017
58-46=12,9.720312092491898
54-38=16,9.719006117492057
48-16=32,9.718620925160067
45-26=19,9.717639662938089
62-49=13,9.717506123971393
68-41=27,9.713855180386924
45-28=17,9.712608382490545
58-12=46,9.711402058600347
43-26=17,9.708593521918363
52-14=38,9.704294033433847
85-21=64,9.702390341100648
46-17=29,9.700425670447132
69-21=48,9.70025560721805
46-19=27,9.69984177522709
47-28=19,9.699214323947892
43-15=28,9.69909186839374
47-32=15,9.69814981978986
62-13=49,9.696351686847786
45-17=28,9.69608314925505
74-21=53,9.69570394042243
62-47=15,9.695697355037993
54-16=38,9.695192474595649
47-35=12,9.695000585813794
58-16=42,9.692764935036779
63-45=18,9.692141489614272
69-41=28,9.691657718008749
57-21=36,9.690099168939653
54-18=36,9.689459858628002
52-18=34,9.68940860690644
39-25=14,9.688558602650444
62-45=17,9.688381862210585
58-21=37,9.688324029082802
84-23=61,9.684703048866538
45-19=26,9.683326339947122
57-31=26,9.68252807685234
49-37=12,9.682341899042065
86-12=74,9.681933264438596
43-17=26,9.681321829289923
86-14=72,9.679809811443997
68-23=45,9.679433451527588
62-19=43,9.67878912534861
58-31=27,9.678146763550636
47-19=28,9.677297556016734
43-18=25,9.676372920983809
39-24=15,9.674370080126533
68-27=41,9.67320564009649
72-54=18,9.673110286153277
78-32=46,9.673099663498967
49-32=17,9.672982476472676
56-37=19,9.672202537440276
63-48=15,9.670627629491898
59-21=38,9.67001539374472
56-39=17,9.669511322983885
45-18=27,9.669109086441765
65-47=18,9.667724813530832
59-43=16,9.6666773162086
84-61=23,9.665914134385513
68-43=25,9.665780234626748
47-12=35,9.66530215705159
72-14=58,9.665153365675687
61-27=34,9.664926592387086
72-53=19,9.664760286391102
78-42=36,9.664744066842065
45-16=29,9.66450130746269
62-17=45,9.66380007369822
74-51=23,9.663187189825148
63-15=48,9.662339719954923
68-25=43,9.661775515993996
59-31=28,9.661176904776191
74-23=51,9.661064720011506
94-21=73,9.660890920583833
47-15=32,9.660830925735867
87-23=64,9.65957692777529
43-16=27,9.659293039650029
62-15=47,9.658379864307621
59-47=12,9.65670256348113
72-58=14,9.656506895418884
71-23=48,9.655909359573839
61-37=24,9.65568497489483
68-47=21,9.655240414569842
65-27=38,9.654870353431964
95-21=74,9.654713654204713
72-13=59,9.654535077606555
67-49=18,9.653996359981786
75-13=62,9.653835553353366
64-29=35,9.653347593682204
78-36=42,9.65267967698682
64-25=39,9.651086980355196
72-18=54,9.651008153490793
47-18=29,9.649138033554097
72-59=13,9.648035055173105
57-39=18,9.647512683054831
59-42=17,9.646868813522326
68-45=23,9.646775587350602
49-17=32,9.646498180092559
61-24=37,9.64635215208653
